sample_id,model_output_ingredients,ground_truth_ingredients,ingredients_accuracy_0_100
upload_1749840444495_ce8fbfbc-988e-4ee6-9e52-d7ebdf4a58bc,"[{""name"": ""bread rolls"", ""impact"": ""yellow""}, {""name"": ""juice"", ""impact"": ""red""}]","[{""name"": ""refined wheat flour"", ""impact"": ""red""}, {""name"": ""sugar"", ""impact"": ""red""}, {""name"": ""butter or oil"", ""impact"": ""yellow""}, {""name"": ""yeast"", ""impact"": ""green""}, {""name"": ""salt"", ""impact"": ""green""}, {""name"": ""water"", ""impact"": ""green""}]",0.00
upload_1749840712880_d8cedf37-9bdb-4ff5-8e21-6a6a740ae409,"[{""name"": ""quinoa"", ""impact"": ""green""}, {""name"": ""broccoli"", ""impact"": ""green""}, {""name"": ""cauliflower"", ""impact"": ""green""}, {""name"": ""spinach"", ""impact"": ""green""}, {""name"": ""onion rings"", ""impact"": ""yellow""}]","[{""name"": ""broccoli"", ""impact"": ""green""}, {""name"": ""spinach"", ""impact"": ""green""}, {""name"": ""cauliflower"", ""impact"": ""green""}, {""name"": ""couscous"", ""impact"": ""yellow""}, {""name"": ""fried onion ring"", ""impact"": ""red""}, {""name"": ""dip/sauce (likely hummus)"", ""impact"": ""yellow""}]",50.00
upload_1749840740344_7e95ee66-1e26-4892-9ce4-b79960061c19,"[{""name"": ""carrots"", ""impact"": ""green""}, {""name"": ""mushrooms"", ""impact"": ""green""}, {""name"": ""potatoes"", ""impact"": ""yellow""}]","[{""name"": ""carrots"", ""impact"": ""yellow""}, {""name"": ""zucchini"", ""impact"": ""green""}, {""name"": ""mushrooms"", ""impact"": ""green""}, {""name"": ""onion"", ""impact"": ""yellow""}, {""name"": ""minced meat"", ""impact"": ""green""}, {""name"": ""herbs/seasoning"", ""impact"": ""green""}]",16.67
upload_1749841037102_96ccbf66-4c05-45dc-8920-fd6ef54fcd0d,"[{""name"": ""rice"", ""impact"": ""yellow""}, {""name"": ""beans"", ""impact"": ""green""}, {""name"": ""tomatoes"", ""impact"": ""green""}, {""name"": ""creamy sauce"", ""impact"": ""red""}]","[{""name"": ""white rice"", ""impact"": ""red""}, {""name"": ""black beans"", ""impact"": ""green""}, {""name"": ""salsa (tomato, onion, pepper)"", ""impact"": ""green""}, {""name"": ""sour cream or cheese"", ""impact"": ""yellow""}, {""name"": ""cilantro/herbs"", ""impact"": ""green""}]",40.00
upload_1749841435404_d2ac9183-048d-4cec-9b9b-a878628e4b30,"[{""name"": ""yogurt"", ""impact"": ""green""}, {""name"": ""blueberries"", ""impact"": ""green""}, {""name"": ""red currants"", ""impact"": ""green""}]","[{""name"": ""plain yogurt (unsweetened, low-fat)"", ""impact"": ""green""}, {""name"": ""blueberries"", ""impact"": ""green""}, {""name"": ""red currants"", ""impact"": ""green""}]",100.00
upload_1749841861682_5e0c8e9d-bcff-4db4-bd59-62aa98119dec,"[{""name"": ""carrots"", ""impact"": ""green""}, {""name"": ""broccoli"", ""impact"": ""green""}, {""name"": ""potatoes"", ""impact"": ""yellow""}, {""name"": ""cream sauce"", ""impact"": ""red""}]","[{""name"": ""potatoes"", ""impact"": ""yellow""}, {""name"": ""carrots"", ""impact"": ""green""}, {""name"": ""broccoli"", ""impact"": ""green""}, {""name"": ""cream sauce (milk/cheese/butter)"", ""impact"": ""yellow""}]",75.00
upload_1749843287038_40cbba8a-21fa-447a-88ce-54e9d8f8708a,"[{""name"": ""chapati"", ""impact"": ""yellow""}, {""name"": ""rice"", ""impact"": ""yellow""}, {""name"": ""dal"", ""impact"": ""green""}, {""name"": ""vegetable curry"", ""impact"": ""green""}, {""name"": ""pickle"", ""impact"": ""red""}, {""name"": ""curd"", ""impact"": ""green""}, {""name"": ""papad"", ""impact"": ""yellow""}]","[{""name"": ""chapati (wheat flatbread)"", ""impact"": ""yellow""}, {""name"": ""steamed white rice"", ""impact"": ""red""}, {""name"": ""dal (lentil soup)"", ""impact"": ""green""}, {""name"": ""vegetable curry"", ""impact"": ""green""}, {""name"": ""yogurt"", ""impact"": ""green""}, {""name"": ""papad (poppadom)"", ""impact"": ""yellow""}, {""name"": ""ghee (clarified butter)"", ""impact"": ""red""}, {""name"": ""pickle"", ""impact"": ""yellow""}]",62.50
upload_1749843713632_58c8331c-7aec-4895-a51b-cb92988cade5,"[{""name"": ""miso paste"", ""impact"": ""green""}, {""name"": ""water"", ""impact"": ""green""}]","[{""name"": ""hot water"", ""impact"": ""green""}, {""name"": ""ginger"", ""impact"": ""green""}, {""name"": ""lemon juice"", ""impact"": ""green""}, {""name"": ""vitamin d+k drops"", ""impact"": ""green""}]",25.00
upload_1749850518596_ae5c6336-732a-432f-a1c1-a64db860a708,"[{""name"": ""espresso"", ""impact"": ""green""}, {""name"": ""cake"", ""impact"": ""red""}]","[{""name"": ""espresso coffee"", ""impact"": ""green""}, {""name"": ""sugar (in cake)"", ""impact"": ""red""}, {""name"": ""flour (in cake)"", ""impact"": ""yellow""}, {""name"": ""butter or oil (in cake)"", ""impact"": ""yellow""}, {""name"": ""egg (in cake)"", ""impact"": ""green""}]",20.00
upload_1749865296179_d1a4da8d-8804-480e-b835-072f845e11f8,"[{""name"": ""eggs"", ""impact"": ""green""}, {""name"": ""black beans"", ""impact"": ""green""}, {""name"": ""onions"", ""impact"": ""green""}, {""name"": ""wrap"", ""impact"": ""yellow""}]","[{""name"": ""flour tortilla"", ""impact"": ""red""}, {""name"": ""egg"", ""impact"": ""green""}, {""name"": ""black beans"", ""impact"": ""yellow""}, {""name"": ""onion"", ""impact"": ""green""}, {""name"": ""oil or butter"", ""impact"": ""yellow""}]",40.00
